kind,test,addr,expected,actual,result
WRITE,model,0x0000001c,0xedcb69db,0xedcb69db,UPDATE
MON_READ,monitor,0x0000001c,0xedcb69db,0xedcb69db,OBSERVED
READ,rand_test,0x0000001c,0xedcb69db,0xedcb69db,PASS
MON_READ,monitor,0x00000018,0x8aaa4b15,0x8aaa4b15,OBSERVED
READ,rand_test,0x00000018,0x8aaa4b15,0x8aaa4b15,PASS
MON_WRITE,monitor,0x00000000,0x00000049,0x00000049,OBSERVED
WRITE,model,0x00000000,0x00000049,0x00000049,UPDATE
MON_WRITE,monitor,0x0000001c,0xfbd261f7,0xfbd261f7,OBSERVED
WRITE,model,0x0000001c,0xfbd261f7,0xfbd261f7,UPDATE
MON_READ,monitor,0x00000010,0xbcd18779,0xbcd18779,OBSERVED
READ,rand_test,0x00000010,0xbcd18779,0xbcd18779,PASS
MON_WRITE,monitor,0x00000000,0x00000011,0x00000011,OBSERVED
WRITE,model,0x00000000,0x00000011,0x00000011,UPDATE
MON_READ,monitor,0x00000018,0x8aaa4b15,0x8aaa4b15,OBSERVED
READ,rand_test,0x00000018,0x8aaa4b15,0x8aaa4b15,PASS
MON_WRITE,monitor,0x00000000,0x00000079,0x00000079,OBSERVED
WRITE,model,0x00000000,0x00000079,0x00000079,UPDATE
MON_READ,monitor,0x00000010,0xbcd18779,0xbcd18779,OBSERVED
READ,rand_test,0x00000010,0xbcd18779,0xbcd18779,PASS
MON_WRITE,monitor,0x00000000,0x00000019,0x00000019,OBSERVED
WRITE,model,0x00000000,0x00000019,0x00000019,UPDATE
MON_WRITE,monitor,0x00000010,0x39f50473,0x39f50473,OBSERVED
WRITE,model,0x00000010,0x39f50473,0x39f50473,UPDATE
MON_WRITE,monitor,0x0000001c,0xfd4779fa,0xfd4779fa,OBSERVED
WRITE,model,0x0000001c,0xfd4779fa,0xfd4779fa,UPDATE
MON_READ,monitor,0x00000008,0xf5c50deb,0xf5c50deb,OBSERVED
READ,rand_test,0x00000008,0xf5c50deb,0xf5c50deb,PASS
MON_READ,monitor,0x0000001c,0xfd4779fa,0xfd4779fa,OBSERVED
READ,rand_test,0x0000001c,0xfd4779fa,0xfd4779fa,PASS
MON_WRITE,monitor,0x0000001c,0x93259f26,0x93259f26,OBSERVED
WRITE,model,0x0000001c,0x93259f26,0x93259f26,UPDATE
MON_WRITE,monitor,0x0000001c,0xee5f0fdc,0xee5f0fdc,OBSERVED
WRITE,model,0x0000001c,0xee5f0fdc,0xee5f0fdc,UPDATE
MON_WRITE,monitor,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,OBSERVED
WRITE,model,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,UPDATE
MON_READ,monitor,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,OBSERVED
READ,rand_test,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,PASS
MON_READ,monitor,0x00000008,0xf5c50deb,0xf5c50deb,OBSERVED
READ,rand_test,0x00000008,0xf5c50deb,0xf5c50deb,PASS
MON_READ,monitor,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,OBSERVED
READ,rand_test,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,PASS
MON_READ,monitor,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,OBSERVED
READ,rand_test,0x0000001c,0xbf5a9b7e,0xbf5a9b7e,PASS
MON_WRITE,monitor,0x0000001c,0x1ab48835,0x1ab48835,OBSERVED
WRITE,model,0x0000001c,0x1ab48835,0x1ab48835,UPDATE
MON_READ,monitor,0x0000001c,0x1ab48835,0x1ab48835,OBSERVED
READ,rand_test,0x0000001c,0x1ab48835,0x1ab48835,PASS
MON_READ,monitor,0x00000000,0x00000009,0x00000009,OBSERVED
READ,rand_test,0x00000000,0x00000009,0x00000009,PASS
MON_READ,monitor,0x0000000c,0x7215f9f5,0x7215f9f5,OBSERVED
READ,rand_test,0x0000000c,0x7215f9f5,0x7215f9f5,PASS
MON_WRITE,monitor,0x00000000,0x00000020,0x00000020,OBSERVED
WRITE,model,0x00000000,0x00000020,0x00000020,UPDATE
MON_WRITE,monitor,0x0000001c,0x50ca8ca1,0x50ca8ca1,OBSERVED
WRITE,model,0x0000001c,0x50ca8ca1,0x50ca8ca1,UPDATE
MON_WRITE,monitor,0x00000018,0x4fd6c09f,0x4fd6c09f,OBSERVED
WRITE,model,0x00000018,0x4fd6c09f,0x4fd6c09f,UPDATE
MON_WRITE,monitor,0x00000000,0x00000041,0x00000041,OBSERVED
WRITE,model,0x00000000,0x00000041,0x00000041,UPDATE
MON_WRITE,monitor,0x00000000,0x00000039,0x00000039,OBSERVED
WRITE,model,0x00000000,0x00000039,0x00000039,UPDATE
MON_WRITE,monitor,0x00000000,0x00000009,0x00000009,OBSERVED
WRITE,model,0x00000000,0x00000009,0x00000009,UPDATE
MON_READ,monitor,0x0000001c,0x50ca8ca1,0x50ca8ca1,OBSERVED
READ,rand_test,0x0000001c,0x50ca8ca1,0x50ca8ca1,PASS
MON_WRITE,monitor,0x0000001c,0xe216abc4,0xe216abc4,OBSERVED
WRITE,model,0x0000001c,0xe216abc4,0xe216abc4,UPDATE
MON_READ,monitor,0x0000001c,0xe216abc4,0xe216abc4,OBSERVED
READ,rand_test,0x0000001c,0xe216abc4,0xe216abc4,PASS
MON_WRITE,monitor,0x0000001c,0x43339086,0x43339086,OBSERVED
WRITE,model,0x0000001c,0x43339086,0x43339086,UPDATE
MON_WRITE,monitor,0x00000018,0x99452132,0x99452132,OBSERVED
WRITE,model,0x00000018,0x99452132,0x99452132,UPDATE
MON_READ,monitor,0x0000001c,0x43339086,0x43339086,OBSERVED
READ,rand_test,0x0000001c,0x43339086,0x43339086,PASS
MON_WRITE,monitor,0x0000001c,0xd4a879a9,0xd4a879a9,OBSERVED
WRITE,model,0x0000001c,0xd4a879a9,0xd4a879a9,UPDATE
MON_READ,monitor,0x0000001c,0xd4a879a9,0xd4a879a9,OBSERVED
READ,rand_test,0x0000001c,0xd4a879a9,0xd4a879a9,PASS
MON_READ,monitor,0x0000000c,0x7215f9f5,0x7215f9f5,OBSERVED
READ,rand_test,0x0000000c,0x7215f9f5,0x7215f9f5,PASS
MON_READ,monitor,0x0000001c,0xd4a879a9,0xd4a879a9,OBSERVED
READ,rand_test,0x0000001c,0xd4a879a9,0xd4a879a9,PASS
MON_WRITE,monitor,0x00000018,0x55aa0123,0x55aa0123,OBSERVED
WRITE,model,0x00000018,0x55aa0123,0x55aa0123,UPDATE
MON_READ,monitor,0x00000018,0x55aa0123,0x55aa0123,OBSERVED
READ,rand_test,0x00000018,0x55aa0123,0x55aa0123,PASS
CHECK,rand_test,0x00000000,0x55aa0123,0x55aa0123,PASS
MON_WRITE,monitor,0x00000010,0x00000001,0x00000001,OBSERVED
WRITE,model,0x00000010,0x00000001,0x00000001,UPDATE
MON_WRITE,monitor,0x00000000,0x00000001,0x00000001,OBSERVED
WRITE,model,0x00000000,0x00000001,0x00000001,UPDATE
MON_WRITE,monitor,0x00000008,0x13572468,0x13572468,OBSERVED
WRITE,model,0x00000008,0x13572468,0x13572468,UPDATE
CHECK,rand_test,0x00000000,0x00000001,0x00000001,PASS
MON_WRITE,monitor,0x00000014,0x00000001,0x00000001,OBSERVED
WRITE,model,0x00000014,0x00000001,0x00000001,UPDATE
TEST,rand_test,0x00000000,0x00000000,0x00000000,PASS
